date,asset,observed_log_price,trend,seasonal,residual
2010-04-01,sp500,4.768988271217486,4.783142301816748,-0.008881086584900786,-0.005272944014361514
2010-04-05,sp500,4.777104649895559,4.783408407301862,-0.005478993044581918,-0.0008247643617211864
2010-04-06,sp500,4.779459571084781,4.78373501470069,-0.0012318892284393253,-0.0030435543874691717
2010-04-07,sp500,4.773730827532009,4.784208927103648,0.017135227697448303,-0.02761332726908705
2010-04-08,sp500,4.777188849786149,4.785093516834451,-0.0024501309787690827,-0.005454536069533056
2010-04-09,sp500,4.783734693904334,4.786577226402384,-0.0071851998766123215,0.004342667378561593
2010-04-12,sp500,4.785322725497206,4.78786506759536,-0.001958723716658069,-0.0005836183814951212
2010-04-13,sp500,4.786074071694426,4.788587294493676,-0.004120059609156783,0.0016068368099064756
2010-04-14,sp500,4.797359561980396,4.7888061435630265,0.010227065959135327,-0.0016736475417662433
2010-04-15,sp500,4.798184372320789,4.788701952786558,0.0023935810918288107,0.007088838442403045
2010-04-16,sp500,4.782144136455451,4.788683454926151,-0.005697566144403398,-0.0008417523262966853
2010-04-19,sp500,4.785907154651808,4.788642689730928,0.0015219310944984544,-0.0042574661736187736
2010-04-20,sp500,4.794798317964484,4.788566428049678,-0.006756042337462746,0.012987932252269019
2010-04-21,sp500,4.792976673012616,4.788590831430755,0.003297883068665438,0.0010879585131959857
2010-04-22,sp500,4.795955821194175,4.788581458986879,0.007320803087213994,5.355912008209174e-05
2010-04-23,sp500,4.802462453711867,4.788162595635248,-0.004672597861119933,0.018972455937739774
2010-04-26,sp500,4.79867893217261,4.787132963351151,0.005069038763999103,0.006476930057460528
2010-04-27,sp500,4.774744169959543,4.785845057298015,-0.009113040670061514,-0.0019878466684106755
2010-04-28,sp500,4.782311682740504,4.784610007446828,-0.0035502013107624507,0.0012518766044387064
2010-04-29,sp500,4.794632850933413,4.783220100053283,0.011376749610474466,3.600126965519479e-05
2010-04-30,sp500,4.777525578470196,4.781509150200795,-0.0032962229314795013,-0.0006873487991194693
2010-05-03,sp500,4.790404164229081,4.779980207813619,0.006923235223080524,0.0035007211923812065
2010-05-04,sp500,4.7666085318656215,4.777842071812185,-0.010615071781662449,-0.0006184681649008539
2010-05-05,sp500,4.760634288612163,4.773562662486812,-0.007309417139678725,-0.005618956734970482
2010-05-06,sp500,4.726856704244691,4.768308256730236,0.01422301339658094,-0.055674565882126714
2010-05-07,sp500,4.711869804647147,4.761329481847292,-0.0011735152533563318,-0.048286161946788475
2010-05-10,sp500,4.754968551076486,4.750628928379429,0.004978553983093152,-0.0006389312860370921
2010-05-11,sp500,4.752123598944254,4.742597252131997,-0.009814164530062053,0.01934051134231929
2010-05-12,sp500,4.7660127111049215,4.73927875996574,-0.00989718168335986,0.03663113282254127
2010-05-13,sp500,4.753503980493785,4.736552592833519,0.016496557514284613,0.00045483014598168836
2010-05-14,sp500,4.7352330702862595,4.734005781385168,0.0013111653541904716,-8.387645309859693e-05
2010-05-17,sp500,4.735759755691693,4.732830367189647,-0.0010837844750074246,0.004013172977053614
2010-05-18,sp500,4.722063937459591,4.731476191666831,-0.006621308707541779,-0.0027909454996972727
2010-05-19,sp500,4.716353714948706,4.726937458582239,-0.011386003558277229,0.000802259924744142
2010-05-20,sp500,4.6778628713815325,4.717940775960314,0.017950337156483424,-0.058028241735264885
2010-05-21,sp500,4.692356547667007,4.705747205406193,0.0031758867905069053,-0.01656654452969253
2010-05-24,sp500,4.679442430362679,4.694493018979403,-0.00771766967736183,-0.00733291893936272
2010-05-25,sp500,4.680463170023523,4.68880810475172,-0.0010468680182997257,-0.007298066709897633
2010-05-26,sp500,4.674416358724906,4.688671567048571,-0.00922964452519041,-0.0050255637984752966
2010-05-27,sp500,4.707365698302761,4.689866597637252,0.015163284452366534,0.002335816213141939
2010-05-28,sp500,4.694736629347134,4.6910364338259125,0.0032020889696078043,0.0004981065516140859
2010-06-01,sp500,4.677769878402435,4.692213029874232,-0.01536547753549276,0.0009223260636961328
2010-06-02,sp500,4.703475874772215,4.693068172436102,0.0070947153194174835,0.0033129870166952458
2010-06-03,sp500,4.706914169871375,4.693020437186261,-0.005689395139901219,0.019583127825015367
2010-06-04,sp500,4.671145174911624,4.692482071710156,0.010604935187962888,-0.031941831986494584
2010-06-07,sp500,4.658616161693717,4.691990403858969,0.002267416356519624,-0.03564165852177137
2010-06-08,sp500,4.669271111394615,4.691836996996853,-0.018078813102247192,-0.004487072499991918
